data_provider,use_case,logo,data_category
37AUSTEN,"Hedge Fund Management,Predictive Maintenance",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/37austen_a51d772147803423.png,"Legal and IP Data,Trade Data,Stock & Market Data,Economic Data"
40Geo,Smart Ship,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/40geo_618bcfa7f4f87b4f.png,Satellite Data
505 Economics,Portfolio Management,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/505-economics_ce57c072ff61b3d5.png,"Environmental Data,Economic Data"
90 West Data,"Portfolio Management,Trend Forecasting,Persona Detection/Segmentation",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/90-west-data_56bff769e1caa378.png,"Retail & Commerce Data,Individual Data,Economic Data,Tourism Data,Hospitality Industry Data,Consumer Lifestyle Data,Energy Data"
A2A,"Behavioral Targeting,Targeted Marketing,Mobile App Development",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/a2a_6431b75e889a4c84.png,GPS Data
Above Data,"Hedge Fund Management,Competitor Analysis,Trend Forecasting,Portfolio Management",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/above-data_8ac9c4e8dc4923e2.jpeg,"Individual Data,TV Streaming Rating Data,Economic Data,Automotive Industry Data,Company Data,App Data,B2B Intent Data,,B2B Data,Sports & Entertainment Data,Retail & Commerce Data,Employment Data,Environmental Data,Social Data,Commodity Market Data"
Accutrend,"Portfolio Management,B2B Credit Risk,Account-Based Marketing,Competitor Analysis",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/accutrend-data.jpg,"Commodity Market Data,,Business Credit Rating Data,B2B Data,B2B Marketing Fit Data,Economic Data,Business Registry Data,Firmographic Data"
ACLED Data,Supplier Risk,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/acled_b21f195fe1a1462c.png,"News Data,Sports & Entertainment Events Data,Political Data"
Act Analytics,Supplier Risk,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/act-analytics_7ed576832efc8fb4.png,"Environmental Data,Economic Data"
Address-Base,,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/address-base_fcec70caff5c9308.png,B2B Data
ADDS Corporation,Account-Based Marketing,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/adds-corporation_7d883e51d86b23f8.png,"B2B Intent Data,B2B Marketing Fit Data,B2B Data"
AdZapier,"Persona Detection/Segmentation,Targeted Marketing",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/adzapier_363e4d7325931b56.jpg,"Web Data,Individual Data,Website Traffic Data,Identity Data,IP Data,,Consumer Lifestyle Data,Online/Mobile Data"
Agents Republic,,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/agents-republic_caba02f8065721de.png,
Agrud Technologies,Hedge Fund Management,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/agrud-technologies_ea0b82603b4f80a3.jpeg,"Economic Data,Stock & Market Data"
AI Keyboard,"Targeted Marketing,Online and Social Media Performance Tracking,Persona Detection/Segmentation",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/bobble-ai_2a47532eb77277ac.jpg,"Online/Mobile Data,App Data,Individual Data,,SEO & Web Advertising Data,Consumer Lifestyle Data,Demographic Data"
Ainnotate,,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/ainnotate_9cfc120e01f53ae7.jpg,"Automotive Industry Data,"
Airbtics,"Property Future Value & Mortgage Value Assessment,Portfolio Management,Algo-Trading,Hedge Fund Management",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/airbtics_deb3a9b562e1a42e.png,"Tourism Data,Rental Property Data,Web Data,Economic Data"
Akadia,Supply Chain Management,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/akadia_2bf80c9f776c38c4.png,"Environmental Data,Stock & Market Data,Employment Data"
aKQired,,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/akqired_f300e96e86b01f1d.png,"B2B Marketing Fit Data,B2B Data"
Allfactor,Pricing Optimization,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/allfactor_1cb210999d905221.png,"Retail & Commerce Data,Individual Data,C2C E-Commerce Data"
Ambee,"Supplier Risk,Property Future Value & Mortgage Value Assessment,Product Performance Forecasting,Hedge Fund Management",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/ambee_c5bc1c08762b5848.png,"Environmental Data,Map Data,Climate and Weather Data,Agriculture Data,"
amp Data Intelligence,Trend Forecasting,https://datarade.ai/no-image-icon.png,"Consumer Lifestyle Data,Individual Data,Retail & Commerce Data,B2B Data"
Anachart,Portfolio Management,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/anachart_71fe21de170c23f4.jpeg,"Stock & Market Data,B2B Intent Data,B2B Marketing Fit Data"
AOK Leads,,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/aok-leads_26e898f430cf0fd6.jpeg,",B2B Data"
APAC Leads,Lead Scoring,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/apac-leads_3b00cfac9e0c08e7.jpeg,"B2B Data,B2B Marketing Fit Data,Firmographic Data,"
API-SPORTS,,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/api-sports_65211b657418026f.png,"Esports Data,Stock & Market Data,Sports Betting Data"
Aquagenuity,,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/aquagenuity_57289c794ef27a90.png,Environmental Data
Arabesque S-Ray,"Hedge Fund Management,Supplier Risk,Portfolio Management",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/arabesque-s-ray_cfa0a4e8e2680d37.png,"Environmental Data,Climate and Weather Data"
Augur Labs,"Algo-Trading,Hedge Fund Management,Portfolio Management",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/augur-labs_97f324d7309a3f14.png,"Economic Data,Employment Data,"
Automaton AI,"V2X Technology,Product Performance Forecasting,Traffic Management,AI Language Learning Programs,Smart Building,Supplier Risk",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/automaton-ai_0a9b204fc92822d4.png,"Medical Imagery Data,Hospitality Industry Data,Retail & Commerce Data,Agriculture Data,,Patient Data,Traffic and Routing Data,Automotive Industry Data,Clinical Trial Data"
Aviation Edge,,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/aviation-edge_89a371fcf112793f.png,Aerospace Industry Data
AWIS Weather Services,"Supplier Risk,Portfolio Management,Promotion Planning,Product Performance Forecasting",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/awis-weather-services_57725e54e982a5b4.png,"Construction Industry Data,Climate and Weather Data,Agriculture Data,Environmental Data"
Axiom EMI,,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/axiom-emi_c9d80b75fae4690a.png,"Energy Data,Industry-Specific Data,"
B2B Lists,Account-Based Marketing,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/b2b-lists-llc_883e0c982beed509.png,"Healthcare Data,B2B Intent Data,B2B Marketing Fit Data,B2B Data,Website Data"
B2BLeadlab,"Lead Scoring,Competitor Analysis",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/b2bleadlab_f48c9dac4027439d.jpeg,",Business Registry Data,B2B Data,B2B Marketing Fit Data,Company Data"
B2Broker,"Algo-Trading,Hedge Fund Management",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/b2broker_ea16bcdaff4c694e.jpg,"Foreign Exchange Market Data,"
BDEX,,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/big-data-exchange-bdex_6695f747f24c4597.png,"Location Data,Identity Data,Individual Data,Automotive Industry Data"
Bedrock AI,"Hedge Fund Management,Supplier Risk,Algo-Trading,AI Financial Planning Program",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/bedrock-ai_356e1588fafb9249.jpeg,"Legal and IP Data,Environmental Data,Legal Case Data,,Stock & Market Data,Economic Data"
Bestinfopoint,"Targeted Marketing,Account-Based Marketing",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/bestinfopoint_b60812b490ae9837.jpeg,",Sports & Entertainment Events Data,B2B Data,Website Data,Company Data,Marketing Attribution Data,Firmographic Data,B2B Marketing Fit Data,Email Data,Social Data,Individual Data,Business Registry Data"
BigDataCloud,"MFA Security,Cybersecurity Posture",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/bigdatacloud_8e5381579afaca5e.png,"IP Data,Online/Mobile Data"
BizProspex,"Hedge Fund Management,Lead Scoring,Online and Social Media Performance Tracking,Property Future Value & Mortgage Value Assessment,Account-Based Marketing",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/bizprospex_1afdef34c7be7883.jpeg,"Business Credit Rating Data,Healthcare Data,Real Estate Data,B2B Data,Firmographic Data,Stock & Market Data,B2B Intent Data,B2B Marketing Fit Data,Employment Data,Company Data,"
BlueBot,,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/bluebot_ae8a7f8802a5b959.svg,"Maritime Industry Data,"
Boston Analytics,Supplier Risk,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/boston-analytics_a0a2b11550a77a10.png,"Business Credit Rating Data,Stock & Market Data,Sports & Entertainment Events Data,Economic Data,Company Data,News Data,"
Brandbook,,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/brandbook_85a85a65dced0c49.png,"Retail & Commerce Data,,Consumer Lifestyle Data,Consumer Survey Data"
Bright Data (Formerly Luminati Networks),Price Segmentation Strategy,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/bright%20data_9719843120f44f2d.png,"Employment Data,Hospitality Industry Data,Firmographic Data,Tourism Data,Business Registry Data,Company Data"
Bright Query,Hedge Fund Management,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/brightquery_e69f4b02201877f2.png,"Company Data,Economic Data"
Bufte,"Supplier Risk,B2B Credit Risk,Lead Scoring,Hedge Fund Management",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/bufte_83e1640a32eef2c7.png,"GPS Data,Automotive Industry Data"
Burbio,"Targeted Marketing,Portfolio Management",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/burbio_43cbdc3b2fb1c746.jpg,"Location Data,Sports & Entertainment Events Data,,Individual Data,Education Industry Data,Retail & Commerce Data"
Caeli,Trend Forecasting,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/caeli_50e69dfe942ede6d.jpeg,"Environmental Data,Climate and Weather Data"
Cannon Valley Research,"Portfolio Management,Hedge Fund Management",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/cannon-valley-research_4e4b75763a7f9397.png,"Economic Data,Stock & Market Data"
Capital Intelligence Ratings (CI Ratings),,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/capital-intelligence-ltd.png,"Retail & Commerce Data,Marketing Attribution Data,Business Credit Rating Data"
CarePrecise,,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/careprecise_29aa9f8445d40917.jpg,"Healthcare Data,B2B Data,Company Data,Clinical Trial Data"
catsai,"Targeted Marketing,Promotion Planning,Product Performance Forecasting",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/catsai_ba8e06b81f9bb607.png,"Retail & Commerce Data,Sports & Entertainment Events Data,Climate and Weather Data,Marketing Attribution Data,B2B Marketing Fit Data,B2B Data"
China Knowledge,"Algo-Trading,Hedge Fund Management",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/china-knowledge_678498b36da0de5d.png,"Stock & Market Data,Economic Data"
CitiesAI,,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/citiesai_afd42bc8968d5d54.jpeg,",Foot Traffic Data"
CITYDATA.ai,Smart Cities,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/citydata-ai_05da07be111eec54.jpeg,"Location Data,,Foot Traffic Data,Tourism Data,Online/Mobile Data"
Clarity AI,"Hedge Fund Management,Portfolio Management",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/clarity_e0a0b7b0fa7b073b.jpg,"Environmental Data,Company Data,Climate and Weather Data"
Cloud Giant,,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/cloud-giant_b7d4fdc0d976f64f.svg,"Stock & Market Data,Trade Data,"
Coresignal,"Product Performance Forecasting,Lead Scoring,Portfolio Management,Hedge Fund Management,Trend Forecasting",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/coresignal_b28e657e111c9179.jpeg,"Business Credit Rating Data,B2B Data,Product Review Data,Company Data,B2B Intent Data,Employment Data,Firmographic Data,Stock & Market Data,Economic Data"
CoworkIntel,Property Future Value & Mortgage Value Assessment,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/coworkintel_d9b857f9fb5658da.png,"Real Estate Data,"
Cryptrata,"Algo-Trading,Pricing Optimization,AI Financial Planning Program",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/cryptrata_c2d563bcf57972d2.png,",Economic Data"
CUFTanalytics,Portfolio Management,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/cuftanalytics_88d453ec5d1b37e6.png,"Economic Data,Business Credit Rating Data,"
CustomWeather,"Predictive Maintenance,Supplier Risk,Supply Chain Management,Promotion Planning,Smart Ship",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/customweather_9d7a7b035b114c80.png,"Map Data,Climate and Weather Data,Environmental Data,Energy Data,,Agriculture Data"
Cyabra,"Trend Forecasting,Hedge Fund Management",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/cyabra_4f90b9719c013b6b.jpeg,"Individual Data,Social Media Sentiment Data,,Economic Data"
Danel Capital,,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/danel-capital_269e22ff8c8b714c.png,",Stock & Market Data,Trade Data"
Data Discovers,,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/data-discovers_a8f88d47b0a3912b.jpeg,"B2B Intent Data,Firmographic Data,B2B Marketing Fit Data,B2B Data,Company Data"
Data Marketers Group,"Lead Scoring,Account-Based Marketing",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/data-marketers-group_de4f576b30276132.jpeg,"B2B Intent Data,B2B Marketing Fit Data,Firmographic Data,B2B Data"
data_provider,,Data Vendor Logo,
Databuild,"Targeted Marketing,Lead Scoring",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/databuild_1bc1bfe5dfe5f265.png,"B2B Data,Real Estate Data,Construction Industry Data"
Datacie,"Supplier Risk,Property Future Value & Mortgage Value Assessment,Hedge Fund Management,Portfolio Management",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/datacie_aaa31b086249ad90.svg,"Real Estate Investment Data,B2B Data,Environmental Data,Stock & Market Data,Economic Data,Marketing Attribution Data,Individual Data,Real Estate Data,,Patent Data,Employment Data,Legal Case Data,Energy Data,Climate and Weather Data"
DataGardener,,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/datagardener_833e31d38c9c1334.png,"Business Registry Data,B2B Data,Firmographic Data,B2B Intent Data,,Company Data,Economic Data"
Datahut,"Account-Based Marketing,Pricing Optimization,Hedge Fund Management,Price Segmentation Strategy",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/datahut_95f02fc4839a8615.png,"Retail & Commerce Data,Business Registry Data,Company Data"
Datalastic,"Smart Ship,Supplier Risk",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/datalastic_22e9d0b0a7ecc04f.png,"Maritime Industry Data,Trade Data,"
DataSpark,"Portfolio Management,Hedge Fund Management,Algo-Trading",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/dataspark_fb30ecf946ef9d61.png,"Economic Data,Environmental Data,Stock & Market Data,Company Data"
Datastream Group,"Targeted Marketing,Behavioral Targeting,Hedge Fund Management",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/datastream-group_df116f49fea3ad73.png,"Online/Mobile Data,SEO & Web Advertising Data,Identity Data,TV Streaming Rating Data,Individual Data,Automotive Industry Data,,Political Data,Cross-Device Identity Data,Real Estate Data,Consumer Lifestyle Data,Property Ownership Data"
Datos,,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/datos_cf6adb8113352dbc.png,",Demographic Data"
DecaData,Hedge Fund Management,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/decadata_521e947df61a52f5.png,"Retail & Commerce Data,Hospitality Industry Data,Sports & Entertainment Data,C2C E-Commerce Data,Individual Data"
Demografy,Persona Detection/Segmentation,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/demografy_25c5d3d1b0adf3d7.png,"Individual Data,,Demographic Data"
DestinyCS,,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/destinycs_10b3a7fde862dec3.png,
Dexi.io,,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/dexi-io_fb8a8d63aba3511f.jpg,"Hospitality Industry Data,Aerospace Industry Data,Tourism Data"
Dexivo,,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/dexivo_4fcd3e2a1a7b8d64.jpeg,",Individual Data"
Diaceutics,,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/diaceutics_f0309982b5537ce6.jpeg,",Healthcare Data,Patient Data,Medical Claims Data"
Digest Africa,Portfolio Management,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/digest-africa_7a91d9d592ffa10f.png,"Business Credit Rating Data,Economic Data,B2B Data,Company Data"
Donuka,Property Future Value & Mortgage Value Assessment,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/donuka_0a444ec744583c88.jpeg,"Real Estate Investment Data,Real Estate Data"
Earthmetry,Algo-Trading,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/earthmetry_1f53b32f422fb7c1.png,"Environmental Data,Energy Data,Satellite Data,Web Data,Economic Data"
Edge,"Portfolio Management,Product Performance Forecasting",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/edge-by-ascential_2aa799ca8a50ea33.png,"Location Data,Retail & Commerce Data,Individual Data"
Edison Trends,"Trend Forecasting,Hedge Fund Management",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/edison-trends_b3430654ee1a0a1c.png,",Tourism Data,Retail & Commerce Data,Email Data,C2C E-Commerce Data"
Email on Business,Account-Based Marketing,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/email-on-business.PNG,"B2B Marketing Fit Data,,B2B Data"
Envestnet | Yodlee,"Trend Forecasting,Product Performance Forecasting,Algo-Trading",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/yodlee-envestnet.png,"Retail & Commerce Data,Individual Data,"
EPFR Global,"Algo-Trading,Hedge Fund Management,Portfolio Management",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/epfr-global_4ec305f1b50df819.png,"Economic Data,,Stock & Market Data"
EPIC Translations,"Hedge Fund Management,Behavioral Targeting,Product Performance Forecasting,Competitor Analysis",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/epic-translations_440f49327e869cc3.jpeg,"Online/Mobile Data,Website Data,,Marketing Attribution Data,Trade Data"
Esales Data,"Targeted Marketing,Lead Scoring",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/esales-data_5d9db95a3ad5108b.png,"B2B Data,Firmographic Data,,Legal Case Data,B2B Intent Data,Economic Data,Real Estate Data,B2B Marketing Fit Data,Marketing Attribution Data"
ESG Analytics,"Portfolio Management,Algo-Trading",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/esg-analytics_f242d27b10688d3e.jpeg,"Sports & Entertainment Events Data,News Data,Environmental Data,Stock & Market Data,Company Data"
ESG Analytics Ai,"Online and Social Media Performance Tracking,Algo-Trading,Supplier Risk",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/esg-analytics-ai_2cbd75230f1aa159.jpeg,"Environmental Data,Climate and Weather Data"
Eskimi,,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/eskimi_2180cc7d8c967767.png,",Identity Data,Industry-Specific Data,Online/Mobile Data"
Estated,,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/estated_7b55cd0db652f935.png,"Real Estate Investment Data,Real Estate Data"
Event Registry,,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/eventregistry_db2cc660c59fb78f.jpeg,Environmental Data
Every Market Media,Lead Scoring,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/every-market-media_52ec07ca2a45c996.png,"B2B Data,Website Data,Industry-Specific Data,,Company Data,Firmographic Data,B2B Marketing Fit Data,Business Registry Data,Individual Data,Employment Data,Email Data,B2B Intent Data"
Facteus,"Algo-Trading,Trend Forecasting",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/arm-insight_b0b15d86da3d1e36.jpg,"Retail & Commerce Data,Individual Data,Consumer Lifestyle Data"
Fifty,Targeted Marketing,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/fifty_c115d6c75ab17bf7.png,"Demographic Data,Economic Data,Social Data,"
Finage,Portfolio Management,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/finage_645ab7b5ce2c81a0.png,"Foreign Exchange Market Data,Stock & Market Data,Trade Data,"
Financial Modeling Prep,Portfolio Management,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/financial-modeling-prep_14eab54b00f17b3a.png,"Economic Data,Legal and IP Data,Stock & Market Data"
Finispia,"Hedge Fund Management,Portfolio Management",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/finispia_8d0ca042425cae1f.jpeg,"B2B Intent Data,Trade Data,Stock & Market Data,Economic Data"
Finnworlds,Portfolio Management,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/finnworlds_954a6b943b857d58.png,"Economic Data,,Stock & Market Data"
