data_provider,use_case,logo,data_category
Predik Data-driven,"Online and Social Media Performance Tracking,Competitor Analysis,Behavioral Targeting,Pricing Optimization,Portfolio Management,Trend Forecasting",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/centralamericadata_7e56d4b174f44823.jpeg,"Construction Industry Data,Individual Data,Tourism Data,Marketing Attribution Data,Retail & Commerce Data,Location Data,Automotive Industry Data,,Economic Data,Social Data,Web Data,Trade Data,B2B Data,Real Estate Data"
Prominent Contact,,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/prominent-contact_3344beb8173a1477.png,",Business Registry Data,B2B Data"
ProspectNow,,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/prospectnow_91c40bf9c29545a2.png,Real Estate Data
PTV Group,"Targeted Marketing,Geospatial Effort Prioritization/Store Location Planning,Traffic Management",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/ptv-group_7a644c6f86a19f9c.jpeg,"Location Data,Tourism Data,Retail & Commerce Data,Industry-Specific Data,,Automotive Industry Data,Traffic and Routing Data"
Pudof,"Smart Ship,Supplier Risk",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/pudof_44b57aba4601db02.jpeg,"Maritime Industry Data,Property Ownership Data"
Pynk,"Algo-Trading,Portfolio Management,Hedge Fund Management",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/pynk_d303ced28545a9cf.png,"Commodity Market Data,Economic Data,,Stock & Market Data"
Quant IP,Portfolio Management,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/quant-ip_a18357510ef384cd.png,"Company Data,Patent Data,Economic Data"
QUICK,Supplier Risk,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/quick_9fb6b297e7858455.jpg,"Stock & Market Data,Business Credit Rating Data,Economic Data,"
Rabbu,"Property Future Value & Mortgage Value Assessment,Competitor Analysis",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/rabbu_30737b9c1d11d5e0.jpeg,"Real Estate Data,Real Estate Investment Data"
Radius+,"Supply Chain Management,Product Performance Forecasting",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/Radius%2B_f106c5722b1eea88.png,"B2B Intent Data,Retail & Commerce Data,Demographic Data"
RampedUp Global Data Solutions,"Account-Based Marketing,Online and Social Media Performance Tracking",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/1430.png,"Email Data,Business Registry Data,B2B Data,Social Data,Company Data,"
RDA Index,"Cryptocurrency Investment Strategy,Hedge Fund Management,Pricing Optimization,Supplier Risk",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/rda-index_fbc1501dcc602899.png,"Consumer Survey Data,,Stock & Market Data,Retail & Commerce Data"
Reality Research,"Portfolio Management,Algo-Trading,Hedge Fund Management",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/reality-research_fc27c49d5f8bd650.png,"Real Estate Data,Real Estate Investment Data,Stock & Market Data,Economic Data"
RegAlytics,Supplier Risk,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/regalytics_bf2293f327496e13.jpeg,",Environmental Data,Political Data,Economic Data"
regulation technologies,,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/regulation-technologies_9e7188635981a3fe.jpeg,"B2B Intent Data,,Business Registry Data,Company Data"
Reklaim,"MFA Security,Targeted Marketing,Lead Scoring,Mobile App Development",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/killi_448e190b4237278c.jpeg,"Online/Mobile Data,IP Data,Cross-Device Identity Data,App Data,,Consumer Lifestyle Data,Consumer Survey Data,Identity Data,Individual Data"
Reomnify,Property Future Value & Mortgage Value Assessment,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/reomnify_96ba20874e20106d.png,"Real Estate Data,Stock & Market Data,Location Data,Real Estate Investment Data,Economic Data"
Retargetly,"Remarketing Campaigns,Targeted Marketing",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/retargetly_eaa64ac9ad534435.svg,"Demographic Data,Identity Data,Individual Data,Website Data,Location Data,Marketing Attribution Data,App Data,,Consumer Lifestyle Data"
RIMES Technologies,"Supplier Risk,B2B Credit Risk,Hedge Fund Management",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/rimes-technologies_7d18cc4e1ae1fadd.png,"Economic Data,Stock & Market Data"
RingLead,Lead Scoring,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/broadlook-ringlead_913a89e5b74bb025.svg,"Individual Data,B2B Data,Firmographic Data,Company Data,"
Risklio,"Algo-Trading,Hedge Fund Management,Supplier Risk,Portfolio Management",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/risklio_8c3ce62ae3f4e8fb.png,"Trade Data,Stock & Market Data,,Economic Data"
RIWI,"Product Performance Forecasting,Trend Forecasting,Portfolio Management,Predictive Maintenance",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/riwi-data_aa5b945acc5edb79.jpg,"Individual Data,Legal and IP Data,,Social Media Sentiment Data,Economic Data,Consumer Lifestyle Data"
Rocks & Gold,"Account-Based Marketing,Competitor Analysis",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/rocks-gold_e961296c92b3f707.jpeg,"B2B Intent Data,Employment Data,Technographics Data,Company Data,Economic Data,B2B Data"
RootMetrics,"Trend Forecasting,Hedge Fund Management,V2X Technology",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/rootmetrics_5c04f7c2fed1b024.png,"Automotive Industry Data,"
Roq.ad,,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/roq-ad.jpg,"Identity Data,Cross-Device Identity Data,Individual Data"
Royal Map,,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/royal-map_d16e123be2aef7bc.png,"Map Data,Tourism Data,Retail & Commerce Data,Healthcare Data,Agriculture Data,,Economic Data"
RoyaltyStat,,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/royaltystat_6718ca0e3b957aaa.png,"Legal and IP Data,Patent Data,Economic Data"
RS Metrics,Waste Management System,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/rs-metrics_ae6dc7f541d79f60.jpg,"Climate and Weather Data,,Environmental Data"
Rubix Data Sciences,"Supplier Risk,B2B Credit Risk,Supply Chain Management",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/rubix_59137e197fb46a64.jpeg,"Company Data,Business Registry Data,Business Credit Rating Data,,Firmographic Data"
Salutary Data,,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/salutary-data_a4d5c795b35108cb.JPG,"B2B Data,Employment Data"
ScaleCampaign,"Property Future Value & Mortgage Value Assessment,Campaign Strategy,Supplier Risk,Trend Forecasting,Lead Scoring,Account-Based Marketing,Online and Social Media Performance Tracking",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/walklists_8d7d5a653236b19e.jpeg,"Consumer Lifestyle Data,Individual Data,Real Estate Investment Data,Political Poll Data,Real Estate Data,Automotive Industry Data,,Political Data"
Scanlife,,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/scanlife-by-scanbuy_55db02e18e924fd0.PNG,"Retail & Commerce Data,,Company Data,Demographic Data"
Scrapehero,,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/scrapehero.png,",Employment Data,C2C E-Commerce Data,Company Data,Website Data"
Sensefolio,,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/sense-folio_07b5efbd282a2e60.jpg,"Environmental Data,Energy Data,Company Data,Economic Data"
Sentifi,"Supplier Risk,Hedge Fund Management",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/sentifi_86c956d907b208e4.png,"Social Media Sentiment Data,Environmental Data,Social Data,Economic Data"
SerpApi,"Pricing Optimization,Competitor Analysis",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/serpapi_80c93b2ac61f848d.png,"SEO & Web Advertising Data,,Web Data"
Serpstat,"Product Performance Forecasting,Competitor Analysis",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/serpstat_c66273b8692bd925.png,"Web Data,Website Data,Website Traffic Data,SEO & Web Advertising Data"
SETLD,,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/setld_e927c3d5339f687e.png,"Energy Data,"
sferro,"MFA Security,Targeted Marketing,Persona Detection/Segmentation,Supplier Risk,Online and Social Media Performance Tracking",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/sferro_3d852e2f301ae8ae.jpeg,"Demographic Data,Marketing Attribution Data,Individual Data,,Consumer Lifestyle Data,Identity Data"
ShAIp,"AI Chatbots,V2X Technology",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/shaip_938567f622c41160.jpg,"Medical Imagery Data,Healthcare Data,,Patient Data,EHR Data,Retail & Commerce Data,Clinical Trial Data"
ShipsDNA,"Smart Ship,Lead Scoring,Supply Chain Management,Portfolio Management,Supplier Risk",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/shipsdna_9e31044f797c0b43.jpeg,"Business Registry Data,B2B Data,B2B Marketing Fit Data,Maritime Industry Data,Industry-Specific Data,Company Data,"
Shopgram,"Product Performance Forecasting,Account-Based Marketing",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/shopgram_c018e44db3a0d22e.jpeg,"B2B Data,B2B Marketing Fit Data,"
Show!,Persona Detection/Segmentation,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/show_606462c582cc98b8.jpeg,TV Streaming Rating Data
SIGWATCH,Algo-Trading,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/sigwatch_dcc89e2496b4b03c.jpg,"Environmental Data,,Economic Data"
Skuuudle,"Pricing Optimization,Competitor Analysis",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/skuuudle_dc07bc3f145a65b6.png,"Retail & Commerce Data,,C2C E-Commerce Data,Web Data"
Slintel,Lead Scoring,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/slintel_f8e1626c0526c609.png,"B2B Intent Data,"
SMARTe,Account-Based Marketing,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/17156676_G.png,"B2B Data,B2B Marketing Fit Data,Marketing Attribution Data,Company Data"
Snapbizz,Competitor Analysis,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/snapbizz_14e90963df8b02f7.png,"Retail & Commerce Data,Company Data,Product Review Data"
Social Market Analytics,Algo-Trading,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/social-market-analytics.png,",Social Data,Legal and IP Data"
Social Subsidy,Hedge Fund Management,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/social-subsidy_2afd5d6023c6c990.JPG,"Economic Data,Environmental Data,Stock & Market Data"
SocialSentiment.io,"Portfolio Management,Hedge Fund Management",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/socialsentiment-io_40b2deecda42daba.png,"Social Media Sentiment Data,Social Data,Stock & Market Data"
Soleadify,,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/soleadify_53d291aa20d3fada.jpeg,"B2B Data,,Business Registry Data"
Solipay,"Trend Forecasting,Persona Detection/Segmentation,Targeted Marketing",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/solipay_0808bc2810c31389.png,"Web Data,Website Traffic Data,Email Data,Consumer Lifestyle Data,Demographic Data"
Sovrn,,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/sovrn_82f5f8673c1f7624.png,"Economic Data,Individual Data"
Span Global Services,Account-Based Marketing,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/span-global-services_fd0fb2ab64e90e2d.jpg,",B2B Data,Firmographic Data,B2B Intent Data,B2B Marketing Fit Data,Business Registry Data,Technographics Data,Healthcare Data,Employment Data"
SpazioDati,,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/spaziodati_44f69f5848011161.jpg,"Social Data,Website Data"
Speedeon Data,"Targeted Marketing,Persona Detection/Segmentation,Online and Social Media Performance Tracking",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/speedeon-data_41973fb9b2c36626.png,"Consumer Lifestyle Data,Demographic Data,Individual Data,,Marketing Attribution Data,Real Estate Data"
Spiceworks Ziff Davis (SWZD),Account-Based Marketing,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/spiceworksziffdavis_097ceab75ef6d0a3.png,"B2B Intent Data,B2B Marketing Fit Data,B2B Data"
SportMonks,,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/sportmonks_ab92a6f6087a09bb.png,"Esports Data,Stock & Market Data,Sports Betting Data"
StageZero,,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/stagezero_c5f430f1426c2c45.jpeg,",Employment Data"
Stamdata,Portfolio Management,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/stamdata_2d53de02463ced3d.png,"Economic Data,,Employment Data,Stock & Market Data,Company Data"
start.io,"Targeted Marketing,Competitor Analysis,Hedge Fund Management",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/startapp-soda_9f30a44579e271b7.png,"App Data,,Online/Mobile Data,Location Data,Individual Data,Company Data,IP Data,Identity Data"
StockPulse,"AI Financial Planning Program,Portfolio Management",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/stockpulse_1130f1c9c960c136.png,"Economic Data,"
Storm Glass,Smart Ship,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/storm-glass_f9700a863380f114.png,"Climate and Weather Data,"
Sulpetro,"Supply Chain Management,Portfolio Management,Pricing Optimization",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/sulpetro_6bd5895b462cf44e.png,"Commodity Market Data,,B2B Intent Data,B2B Marketing Fit Data,Energy Data,Industry-Specific Data"
Sustainable Platform,"Supplier Risk,Portfolio Management,Hedge Fund Management",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/sustainable-platform_06d183d2e1d98a9e.png,"Environmental Data,Climate and Weather Data,,Company Data"
Swash,,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/swash_6c3512549b39149d.png,"SEO & Web Advertising Data,"
TagX,,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/tagx_e68fb217915887f6.png,"Automotive Industry Data,Economic Data,Retail & Commerce Data"
Tamoco,"Targeted Marketing,Portfolio Management",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/tamoco_4be894330c019d6f.png,"Location Data,Online/Mobile Data,,Foot Traffic Data"
TAUS,AI Language Learning Programs,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/taus_a00e5c81fb3b400f.jpeg,",Legal Case Data,C2C E-Commerce Data"
Technology Evaluation Centers (TEC),"Lead Scoring,Account-Based Marketing",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/technology-evaluation-centers-tec_23ab9ca7c112a597.png,"B2B Data,Business Registry Data"
Techsalerator,Targeted Marketing,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/techsalerator_d31bac0c1d70047b.jpeg,"B2B Data,Firmographic Data,Individual Data,Business Registry Data,Website Data,B2B Marketing Fit Data,,Company Data,Demographic Data"
Televisory,"Portfolio Management,Hedge Fund Management",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/televisory_fffac8ffaf8ff1c5.png,"Economic Data,Retail & Commerce Data,Company Data,Firmographic Data,Energy Data,Industry-Specific Data,Stock & Market Data"
Teragence,,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/teragence_7f0e9cbce6c382df.png,
The Data Appeal Company,,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/the-data-appeal-company_54bf5f48579fd719.png,"Company Data,Social Media Sentiment Data,"
The Data Group,,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/the-data-group_c0a4c3a37cdb6a85.png,"Individual Data,Cross-Device Identity Data,Real Estate Data,Real Estate Investment Data,,Identity Data"
The Economist Intelligence Unit,Promotion Planning,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/the-economist-intelligence-unit_1b99a6390b534f79.png,Healthcare Data
The Warren Group,,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/the-warren-group_6b556e95e5576189.jpeg,Real Estate Data
TheSports,,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/thesports_dfdf8729dc505e2b.jpeg,"Esports Data,Stock & Market Data,Sports Betting Data"
ThinkCX,"Targeted Marketing,Marketing Localization Strategy,Online and Social Media Performance Tracking",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/thinkcx_9d7a555a537eb98b.png,"Demographic Data,,Marketing Attribution Data"
Throtle,"MFA Security,Trend Forecasting,Targeted Marketing,Online and Social Media Performance Tracking",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/throtle_e243a1b0486bdf18.png,"Individual Data,Demographic Data,,Identity Data,TV Streaming Rating Data,Sports & Entertainment Data,Consumer Lifestyle Data"
TL1,"Online and Social Media Performance Tracking,Trend Forecasting",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/tl1_a5bad24f349a3891.png,"App Data,Web Data,Online/Mobile Data,Individual Data,Identity Data,Sports & Entertainment Data,Social Data,,Consumer Lifestyle Data"
Topstonks,"Algo-Trading,Portfolio Management,Hedge Fund Management",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/topstonks_641140c64d13e89a.png,",Trade Data,Stock & Market Data,Economic Data"
TovoData,"Targeted Marketing,Lead Scoring,Property Future Value & Mortgage Value Assessment",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/tovodata_51085b74e4c81eee.png,"Real Estate Data,,Individual Data,Legal and IP Data,Marketing Attribution Data,Real Estate Investment Data"
Tradefeeds,"Portfolio Management,Hedge Fund Management,Competitor Analysis",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/tradefeeds_8a425c976d403c4c.jpg,"Business Credit Rating Data,Economic Data,Stock & Market Data,Business Registry Data,Company Data,"
Trading Volatility,"Supplier Risk,Portfolio Management",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/trading-volatility_055c6a19b3211373.png,"Legal and IP Data,Stock & Market Data,Trade Data,Economic Data"
Traject Data,,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/traject_20367db7d2f76fcb.svg,"SEO & Web Advertising Data,Individual Data,,Political Data,Healthcare Data,Web Data"
TRAK Data,Targeted Marketing,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/trak-data_1900c64d3fbbc28b.jpeg,"Consumer Lifestyle Data,Individual Data,Political Poll Data,Marketing Attribution Data,Automotive Industry Data,Political Data,IP Data,Real Estate Data,,Demographic Data,Email Data"
Transparent Data,"Supplier Risk,B2B Credit Risk",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/transparent-data_eecb61b3e71e9dec.png,"Business Registry Data,Consumer Lifestyle Data,,Company Data,Political Data"
TripleOak,Algo-Trading,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/tripleoak_7f898954694dae94.jpeg,"Stock & Market Data,Company Data"
Triquantity,,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/triquantity_94a974644d8b9df3.jpeg,"Economic Data,Real Estate Data,Industry-Specific Data"
Twelve Data,"Supplier Risk,Algo-Trading",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/twelve-data_306d8d69509d1ea7.png,"Stock & Market Data,Foreign Exchange Market Data,Economic Data,"
USLandGrid,,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/uslandgrid_d6d5044ce0ffbdf8.jpeg,"Legal and IP Data,Real Estate Data,"
Venturecap Insights,"Hedge Fund Management,Portfolio Management",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/venturecap-insights_159df82a94cc57e6.jpeg,"Business Credit Rating Data,,Email Data,Business Registry Data,Company Data"
Versium,Targeted Marketing,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/versium_5d076dcd3fac7a03.png,"Business Registry Data,B2B Data,Firmographic Data,IP Data,Website Data"
ViralMoment,Trend Forecasting,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/viralmoment_cbb25edfb64bf36f.png,"Social Data,Individual Data,,Stock & Market Data"
Virtual World Computing,"Lead Scoring,Targeted Marketing",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/viritual-world-computing_5b141a4db416e275.jpeg,",Email Data,Demographic Data,Psychographics Data"
Wersel Brand Analytics,"Product Performance Forecasting,Competitor Analysis,Pricing Optimization",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/wersel-brand-analytics_126719069df61130.png,"Hospitality Industry Data,,Economic Data,Tourism Data,Product Review Data,Social Data,Stock & Market Data,App Data,C2C E-Commerce Data,Web Data,Aerospace Industry Data"
X-Byte,"Predictive Maintenance,Online and Social Media Performance Tracking,Competitor Analysis,Behavioral Targeting,Trend Forecasting,Property Future Value & Mortgage Value Assessment,Pricing Optimization,Account-Based Marketing,Targeted Marketing,Price Segmentation Strategy,Hedge Fund Management",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/x-byte_c5ba6436f94e1462.png,"Real Estate Data,,Hospitality Industry Data,TV Streaming Rating Data,Social Media Sentiment Data,Economic Data,Retail & Commerce Data,Business Registry Data,Tourism Data,Real Estate Investment Data,Company Data,GPS Data,Sports & Entertainment Data,Automotive Industry Data,Social Data,App Data,C2C E-Commerce Data,Web Data,Individual Data,Aerospace Industry Data,B2B Data"
xavvy,"Pricing Optimization,Competitor Analysis",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/incs_4c2fc47c13925de7.png,Energy Data
Yacodata,Portfolio Management,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/yacodata_6c2fbc2c5485ec95.png,"Stock & Market Data,Economic Data"
Ziggma,"Portfolio Management,Hedge Fund Management,Algo-Trading",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/ziggma_36c1f91fb1ed09f3.png,"Economic Data,Legal and IP Data,Stock & Market Data,"
ZIGRAM,Supplier Risk,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/zigram_2467f0d1fec8cfd0.jpeg,"News Data,Environmental Data,Legal Case Data,Economic Data,,Political Data"
